Community Name,"Holds degree or higher, %","Equivalent household income <$600/week, %",,,Locality,2013
Corinella (Town),22.6519337,59.04761905,,,EAST BAIRNSDALE,226000
Corio (Catchment),22.54901961,43.58974359,,,EAST BENDIGO,285000
Corio (Suburb),15.22826767,57.90232846,,,EAST GEELONG,450000
Coronet Bay (Town),17.47572816,69.77491961,,,EAST MELBOURNE,1790000
Corryong (Catchment),27.29357798,57.23140496,,,EAST WARBURTON,289500
Corryong (Town),22.35649547,67.40740741,,,EASTWOOD,335000
Cowes (Catchment),30.59313215,50.43263288,,,ECHUCA,285000
Cowes (Town),27.21733243,56.52173913,,,EDENHOPE,160000
Craigieburn (Catchment),27.90224033,25,,,EDITHVALE,615000
Craigieburn (Suburb),32.62070376,35.96907786,,,EILDON,210000
Cranbourne (Catchment),23.3295838,34.49877751,,,ELLIMINYT,332000
Cranbourne East (Suburb),28.62412394,35.2700491,,,ELMORE,184000
Cranbourne North (Catchment),23.85620915,39.42028986,,,ELSTERNWICK,1365000
Cranbourne North (Suburb),27.64482219,35.11577942,,,ELTHAM,631500
Cranbourne South (Suburb),18.75,39.39393939,,,ELTHAM NORTH,622000
Cranbourne (Suburb),21.6802168,44.46738943,,,ELWOOD,1350000
Cranbourne West (Catchment),45.74415132,19.17241379,,,EMERALD,440000
Cranbourne West (Suburb),21.00949094,41.51478331,,,ENDEAVOUR HILLS,400000
Cremorne (Suburb),72.7081138,13.60759494,,,EPPING,366500
Creswick (Catchment),33.17140874,54.58333333,,,EPSOM,322500
Creswick (Town),30.50458716,55.6039173,,,ESSENDON,870000
Crib Point (Suburb),15.26315789,43.12431243,,,ESSENDON NORTH,725000
Croydon (Catchment),42.92343387,22.16828479,,,ESSENDON WEST,720000
Croydon Hills (Suburb),41.98782961,23.31460674,,,EUMEMMERRING,353000
Croydon North (Catchment),41.40227184,19.20607122,,,EUREKA,243500
Croydon North (Suburb),38.18005181,28.60281195,,,EUROA,208000
Croydon South (Suburb),34.96218732,31.63129973,,,EYNESBURY,390500
Croydon (Suburb),35.88647819,38.34130409,,,FAIRFIELD,915000
Dales Creek (Town),25.82781457,31.62393162,,,FAWKNER,410000
Dallas (Suburb),28.88257576,71.51552039,,,FERNTREE GULLY,451000
Dalyston (Town),15.51724138,50.37593985,,,FERNY CREEK,497500
Dandenong (Catchment),21.05263158,52.89256198,,,FINGAL,677500
Dandenong North (Suburb),33.76483279,49.99225167,,,FITZROY,945000
Dandenong South (Suburb),21.05263158,52.89256198,,,FITZROY NORTH,976000
Dandenong (Suburb),37.90007241,59.09948773,,,FIVEWAYS,355000
Darnum (Town),27.27272727,37.38317757,,,FLEMINGTON,735500
Dartmoor (Town),13.55932203,59.375,,,FLINDERS,765000
Daylesford - Hepburn Springs (Catchment),43.47258486,49.05944319,,,FLORA HILL,310000
Daylesford - Hepburn Springs (Town),45.64516129,55.97867479,,,FLOWERDALE,292500
Deepdene (Suburb),68.7826087,23.95382395,,,FOOTSCRAY,600000
Deer Park (Catchment),27.60180995,46.39053254,,,FOREST HILL,650500
Deer Park (Suburb),37.11568237,47.23404255,,,FOSTER,298000
Delacombe (Suburb),24.11985019,47.72289929,,,FRANKSTON,350000
Delahey (Suburb),34.63927377,46.90265487,,,FRANKSTON NORTH,255000
Derrimut (Catchment),58.20895522,15,,,FRANKSTON SOUTH,535000
Derrimut (Suburb),48.97862233,25.7287706,,,FRASER RISE,455000
Derrinallum (Town),23.63636364,67.67676768,,,FYANSFORD,386500
Devon Meadows (Suburb),14.33962264,36.82008368,,,GARDEN CITY,1055000
Diamond Creek (Catchment),38.38028169,28.17460317,,,GARDENVALE,1150000
Diamond Creek (Suburb),38.35960704,22.86456642,,,GARFIELD,405000
Diggers Rest (Town),18.11320755,40.85470085,,,GEELONG,500000
Dimboola (Catchment),21.73913043,46.47887324,,,GEELONG WEST,440000
Dimboola (Town),23.82445141,61.61417323,,,GEMBROOK,344000
Dingley Village (Suburb),35.84408744,33.18264014,,,GISBORNE,496000
Dinner Plain (Town),49.23076923,21.42857143,,,GLADSTONE PARK,392500
Docklands (Suburb),72.69433465,19.03323263,,,GLEN HUNTLY,977500
Don Valley (Town),25.54744526,33.92857143,,,GLEN IRIS,1310000
Donald (Catchment),19.41747573,56.07476636,,,GLEN WAVERLEY,815000
Donald (Town),24.12790698,60.23391813,,,GLENGARRY,232500
Doncaster East (Suburb),55.76923077,36.59775546,,,GLENROWAN,230000
Doncaster (Suburb),58.8362069,37.61497499,,,GLENROY,454000
Donvale (Suburb),54.78243826,26.75213675,,,GOLDEN BEACH,169500
Dookie (Town),21.79487179,39.75903614,,,GOLDEN POINT (BALLARAT),265000
Doreen (Catchment),32.38095238,24.82269504,,,GOLDEN SQUARE,295000
